name,ticker
NATWEST GROUP PLC ORD 100P,NWG.L
OCADO GROUP PLC ORD 2P,OCDO.L
FRESNILLO PLC ORD USD0.50,FRES.L
AVEVA GROUP PLC ORD 3 5/9P,AVV.L
CRODA INTERNATIONAL PLC ORD 10.609756P,CRDA.L
BARCLAYS PLC ORD 25P,BARC.L
ASHTEAD GROUP PLC ORD 10P,AHT.L
ANTOFAGASTA PLC ORD 5P,ANTO.L
HARGREAVES LANSDOWN PLC ORD 0.4P,HL.L
B&M EUROPEAN VALUE RETAIL S.A. ORD 10P (DI),BME.L
ANGLO AMERICAN PLC ORD USD0.54945,AAL.L
HOWDEN JOINERY GROUP PLC ORD 10P,HWDN.L
ROLLS-ROYCE HOLDINGS PLC ORD SHS 20P,RR.L
SEGRO PLC ORD 10P,SGRO.L
SCOTTISH MORTGAGE INV TST PLC ORD 5P,SMT.L
PERSHING SQUARE HOLDINGS LTD ORD NPV,PSH.L
PHOENIX GROUP HOLDINGS PLC ORD 10P,PHNX.L
ABRDN PLC ORD 13 61/63P,ABDN.L
RS GROUP PLC ORD 10P,RS1.L
SPIRAX-SARCO ENGINEERING PLC ORD 26 12/13P,SPX.L
GLENCORE PLC ORD USD0.01,GLEN.L
INTERMEDIATE CAPITAL GROUP PLC ORD 26 1/4P,ICP.L
BP PLC $0.25,BP.L
SHELL PLC ORD EUR0.07,SHEL.L
PRUDENTIAL PLC ORD 5P,PRU.L
SCHRODERS PLC VTG SHS £1,SDR.L
RECKITT BENCKISER GROUP PLC ORD 10P,RKT.L
SSE PLC ORD 50P,SSE.L
JD SPORTS FASHION PLC ORD 0.05P,JD.L
UNITE GROUP PLC ORD 25P,UTG.L
BURBERRY GROUP PLC ORD 0.05P,BRBY.L
COCA-COLA HBC AG ORD CHF6.70 (CDI),CCH.L
HALMA PLC ORD 10P,HLMA.L
ST.JAMES'S PLACE PLC ORD 15P,STJ.L
DCC PLC ORD EUR0.25 (CDI),DCC.L
M&G PLC ORD £0.05,MNG.L
BRITISH LAND CO PLC ORD 25P,BLND.L
BUNZL PLC ORD 32 1/7P,BNZL.L
ENTAIN PLC ORD EUR0.01,ENT.L
EXPERIAN PLC ORD USD0.10,EXPN.L
3I GROUP PLC ORD 73 19/22P,III.L
CRH PLC ORD EUR 0.32 (CDI),CRH.L
LAND SECURITIES GROUP PLC ORD 10 2/3P,LAND.L
LLOYDS BANKING GROUP PLC ORD 10P,LLOY.L
ADMIRAL GROUP PLC ORD 0.1P,ADM.L
LEGAL & GENERAL GROUP PLC ORD 2 1/2P,LGEN.L
RIO TINTO PLC ORD 10P,RIO.L
KINGFISHER PLC ORD 15 5/7P,KGF.L
HIKMA PHARMACEUTICALS PLC ORD SHS 10P,HIK.L
RENTOKIL INITIAL PLC ORD 1P,RTO.L
UNITED UTILITIES GROUP PLC ORD 5P,UU.L
VODAFONE GROUP PLC ORD USD0.20 20/21,VOD.L
WPP PLC ORD 10P,WPP.L
INFORMA PLC ORD 0.1P,INF.L
NATIONAL GRID PLC ORD 12 204/473P,NG.L
SMITHS GROUP PLC ORD 37.5P,SMIN.L
FLUTTER ENTERTAINMENT PLC ORD EUR0.09 (CDI),FLTR.L
SEVERN TRENT PLC ORD 97 17/19P,SVT.L
NEXT PLC ORD 10P,NXT.L
AUTO TRADER GROUP PLC ORD 1P,AUTO.L
SAINSBURY(J) PLC ORD 28 4/7P,SBRY.L
MONDI PLC ORD EUR 0.20,MNDI.L
LONDON STOCK EXCHANGE GROUP PLC ORD SHS 6 79/86P,LSEG.L
RELX PLC ORD 14 51/116P,REL.L
SMITH (DS) PLC ORD 10P,SMDS.L
SAGE GROUP PLC ORD 1 4/77P,SGE.L
UNILEVER PLC ORD 3 1/9P,ULVR.L
TESCO PLC ORD 6 1/3P,TSCO.L
ASSOCIATED BRITISH FOODS PLC ORD 5 15/22P,ABF.L
TAYLOR WIMPEY PLC ORD 1P,TW.L
AVIVA PLC ORD 32 17/19P,AV.L
DIAGEO PLC ORD 28 101/108P,DGE.L
DECHRA PHARMACEUTICALS PLC ORD 1P,DPH.L
AIRTEL AFRICA PLC ORD USD0.50,AAF.L
WHITBREAD PLC ORD 76 122/153P,WTB.L
BERKELEY GROUP HOLDINGS (THE) PLC ORD 5.4141P,BKG.L
PERSIMMON PLC ORD 10P,PSN.L
INTERCONTINENTAL HOTELS GROUP PLC ORD 20 340/399P,IHG.L
HSBC HLDGS PLC ORD $0.50 (UK REG),HSBA.L
MEGGITT PLC ORD 5P,MGGT.L
BT GROUP PLC ORD 5P,BT.A.L
BARRATT DEVELOPMENTS PLC ORD 10P,BDEV.L
ASTRAZENECA PLC ORD SHS $0.25,AZN.L
STANDARD CHARTERED PLC ORD USD0.50,STAN.L
ENDEAVOUR MINING PLC ORD USD0.01,EDV.L
RIGHTMOVE  PLC ORD 0.1P,RMV.L
MELROSE INDUSTRIES PLC ORDS 160/21P,MRO.L
GSK PLC ORD 31 1/4P,GSK.L
SMURFIT KAPPA GROUP PLC ORD EUR0.001 (CDI),SKG.L
PEARSON PLC ORD 25P,PSON.L
BAE SYSTEMS PLC ORD 2.5P,BA.L
HALEON PLC ORD GBP1.25,HLN.L
CENTRICA PLC ORD 6 14/81P,CNA.L
IMPERIAL BRANDS PLC ORD 10P,IMB.L
SMITH & NEPHEW PLC ORD USD0.20,SN.L
INTERTEK GROUP PLC ORD 1P,ITRK.L
COMPASS GROUP PLC ORD 11 1/20P,CPG.L
INTL CONSOLIDATED AIRLINES GROUP SA ORD EUR0.10 (CDI),IAG.L
AVAST PLC ORD 10P,AVST.L
BRITISH AMERICAN TOBACCO PLC ORD 25P,BATS.L
