name,ticker
1000MERCIS,ALMIL
2020 BULKERS,2020
2CRSI,2CRSI
2MX ORGANIC,2MX
2MX ORGANIC BS,2MXBS
5TH PLANET GAMES,5PG
A TOUTE VITESSE,MLATV
A.S.T. GROUPE,ALAST
AALBERTS NV,AALB
AASEN SPAREBANK,AASB
AB INBEV,ABI
AB SCIENCE,AB
ABATTOIR,
ABC ARBITRAGE,ABCA
ABEO,ABEO
ABG SUNDAL COLLIER,ABG
ABIONYX PHARMA,ABNX
ABIVAX,ABVX
ABL Diagnostics,ABLD
ABL GROUP,ABL
ABN AMRO BANK N.V.,ABN
ABO GROUP,ABO
ACANTHE DEV.,ACAN
ACCELL GROUP,ACCEL
ACCENTIS,ACCB
ACCOR,AC
ACCOR AC SHARES,AAC
ACCOR AC WARRANTS,AACW
ACCSYS,AXS
ACHETER-LOUER.FR,ALALO
ACKERMANS V.HAAREN,ACKB
ACOMO,ACOMO
ACTEOS,EOS
ACTIA GROUP,ATI
ACTICOR BIOTECH,ALACT
ACTIVIUM GROUP,MLACT
ACVLHO,
ADA,ALADA
ADC SIIC,ALDV
ADEUNIS,ALARF
ADEVINTA,ADE
ADOCIA,ADOC
ADOMOS,ALADO
ADP,ADP
ADS MARITIME HOLD,ADS
ADUX,ADUX
ADVICENNE,ALDVI
ADVINI,ADVI
ADYEN,ADYEN
AEDIFICA,AED
AEGA,AEGA
AEGON,AGN
AELIS FARMA,AELIS
AERKOMM INC,AKOM
AF GRUPPEN,AFG
AFFLUENT MEDICAL,AFME
AFYREN,ALAFY
AG3I,MLAGI
AGEAS,AGS
AGENCE AUTO,MLAA
AGENCE MARIT MINNE,
AGFA-GEVAERT,AGFB
AGILYX,AGLX
AGP MALAGA SOCIMI,MLAGP
AGRIPOWER,ALAGP
AGROGENERATION,ALAGR
AGUAS DA CURIA,CUR
AHOLD DEL,AD
AIB GROUP PLC,A5G
AINMT,AINMT
AIR FRANCE -KLM,AF
AIR LIQUIDE,AI
AIR MARINE,MLAIM
AIRBUS,AIR
AIRTHINGS,AIRX
AIRWELL,MLAIR
AJAX,AJAX
AKASTOR,AKAST
AKER,AKER
AKER BIOMARINE,AKBM
AKER BP,AKRBP
AKER CARBON CAPTUR,ACC
AKER HORIZONS,AKH
AKER SOLUTIONS,AKSO
AKOBO MINERALS,AKOBO
AKVA GROUP,AKVA
AKWEL,AKW
AKZO NOBEL,AKZA
ALAN ALLMAN,AAA
ALBIOMA,ABIO
ALBIOMA BSAAR 2018,ABIBS
ALCHIMIE,ALCHI
ALD,ALD
ALEPH FINANCE,MLALE
ALFEN,ALFEN
ALIAXIS,
ALLFUNDS GROUP,ALLFG
ALME INVEST,
ALMUNDA PRO NV,AMUND
ALPES (COMPAGNIE),CDA
ALPHA MOS,ALNEO
ALSTOM,ALO
ALTAMIR,LTA
ALTAREA,ALTA
ALTAREIT,AREIT
ALTEN,ATE
ALTERNUS ENERGY GR,ALT
ALTHEORA,ALORA
ALTRI SGPS,ALTR
ALTUR INVEST.,ALTUR
ALUMEXX N.V.,ALX
ALVEEN,MLALV
AMA CORPORATION,ALAMA
AMATHEON AGRI,MLAAH
AMERICAN SHIPPING,AMSC
AMG,AMG
AMOEBA,ALMIB
AMPLITUDE SURGICAL,AMPLI
AMUNDI,AMUN
ANDFJORD SALMON,ANDF
ANS ROCOUR,
ANTIN INFRA PARTN,ANTIN
APERAM,APAM
APTORUM GROUP CL A,APM
AQUA BIO TECHNO,ABT
AQUILA,ALAQU
ARAMIS GROUP,ARAMI
ARCADIS,ARCAD
ARCELOR MITT LUX,
ARCELORMITT SCHIFF,
ARCELORMITTAL SA,MT
ARCHER,ARCH
ARCHOS,ALJXR
ARCTIC BIOSCIENCE,ABS
ARCTIC FISH HOLDIN,AFISH
ARCTICZYMES TECHNO,AZT
ARCURE,ALCUR
ARDOIN ST AMAND A,MLARD
ARDOIN ST AMAND B,ARDO
ARENDALS FOSSEKOMP,AFK
ARGAN,ARG
ARGENX SE,ARGX
ARGEO,ARGEO
ARIMELIA ITG,MLARI
ARKEMA,AKE
ARKIMEDES FONDS,
ARMA,
AROCA DEL PINAR,MLARO
ARRIBATEC GROUP,ARR
ARTEA,ARTE
ARTMARKET COM,PRC
ARTOIS NOM.,ARTO
ASCENCIO,ASC
ASETEK,ASTK
ASHLER ET MANSON,MLAEM
ASM INTERNATIONAL,ASM
ASML HOLDING,ASML
ASR NEDERLAND,ASRNL
ASSICURAZ.GEN.ORD.,GEN
ASSYSTEM,ASY
ASTROCAST,ASTRO
